Python,Cython
32.10899,2.776191
32.66662,2.76983
32.50985,2.717925
32.88392,2.733425
32.00921,2.700284
32.17908,2.626612
31.13392,2.643728
30.65688,2.571988
30.56379,2.729868
32.17197,2.74542
32.99483,2.812632
33.46103,2.793286
33.47251,2.80241
32.54098,2.753322
32.39668,2.741914
32.35331,2.597965
30.03302,2.543985
29.82144,2.549925
29.72123,2.496487
29.82313,2.499802
29.89956,2.52764
30.17406,2.519697
30.09926,2.529976
30.01406,2.504806
29.87548,2.438562
30.05806,2.470169
29.48173,2.528495
30.53036,2.503211
29.53282,2.471214
29.72628,2.459394